invoiceid,date,product name,category,quantity,total revenue,customer id
INV12004,2023-01-01,Silicone Spatula Set 3pk,Home & Kitchen,3,31.41,CUST0354
INV12016,2023-01-01,Mechanical Keyboard TKL,Electronics,10,810.3,CUST0325
INV12288,2023-01-01,Bluetooth Speaker Mini,Electronics,3,110.58,CUST0164
INV14383,2023-01-01,Bamboo Cutting Board,Home & Kitchen,2,44.4,CUST0012
INV14533,2023-01-01,Classic Cotton T-Shirt,Clothing,5,105.05,CUST0334
INV12246,2023-01-02,Sticky Notes Pack 12,Office Supplies,2,18.62,CUST0327
INV12522,2023-01-02,Glass Storage Containers 5pk,Home & Kitchen,3,82.71,CUST0452
INV13274,2023-01-02,Digital Kitchen Scale,Home & Kitchen,2,35.16,CUST0117
INV12265,2023-01-03,Smart Plug WiFi,Electronics,2,39.92,CUST0387
INV13182,2023-01-03,Non-Stick Frying Pan 28cm,Home & Kitchen,1,35.76,CUST0130
INV13202,2023-01-03,Bluetooth Speaker Mini,Electronics,3,117.3,CUST0164
INV13640,2023-01-03,Portable Charger 20000mAh,Electronics,2,62.34,CUST0016
INV14210,2023-01-03,Digital Kitchen Scale,Home & Kitchen,1,20.07,CUST0017
INV14221,2023-01-03,Sticky Notes Pack 12,Office Supplies,1,9.62,CUST0120
INV14727,2023-01-03,Wireless Earbuds Pro,Electronics,3,150.42,CUST0062
INV10682,2023-01-04,Running Socks 6pk,Clothing,1,13.92,CUST0232
INV11779,2023-01-04,French Press Coffee Maker,Home & Kitchen,3,85.32,CUST0330
INV11823,2023-01-04,A4 Printer Paper 500sh,Office Supplies,3,29.19,CUST0096
INV11906,2023-01-04,Bluetooth Speaker Mini,Electronics,1,37.41,CUST0344
INV13565,2023-01-04,Classic Cotton T-Shirt,Clothing,5,94.55,CUST0163
INV14468,2023-01-04,Facial Sunscreen SPF50,Beauty & Health,1,18.61,CUST0420
INV14655,2023-01-04,Hooded Sweatshirt,Clothing,1,47.69,CUST0261
INV14997,2023-01-04,Vitamin C Serum 30ml,Beauty & Health,1,25.26,CUST0032
INV10816,2023-01-05,Scissors Stainless Steel,Office Supplies,2,15.56,CUST0280
INV12264,2023-01-05,Zip-Up Fleece Jacket,Clothing,4,323.28,CUST0465
INV13677,2023-01-05,Silicone Spatula Set 3pk,Home & Kitchen,4,43.68,CUST0221
INV14256,2023-01-05,Canvas Sneakers,Clothing,2,129.76,CUST0355
INV14731,2023-01-05,USB-C Hub 7-in-1,Electronics,10,381.0,CUST0393
INV14897,2023-01-05,Whiteboard Markers 8pk,Office Supplies,3,36.06,CUST0059
INV10708,2023-01-06,Reusable Cotton Pads 20pk,Beauty & Health,2,24.84,CUST0139
INV12831,2023-01-06,Lip Balm SPF15 3pk,Beauty & Health,2,14.4,CUST0001
