invoiceid,date,product name,category,quantity,total revenue,customer id
INV10346,2024-01-01,Sport Shorts,Clothing,1,26.55,CUST0081
INV10369,2024-01-01,Bamboo Toothbrush 4pk,Beauty & Health,4,35.84,CUST0183
INV10682,2024-01-01,Smart Plug WiFi,Electronics,2,38.52,CUST0190
INV10855,2024-01-01,Classic Cotton T-Shirt,Clothing,1,18.07,CUST0029
INV11624,2024-01-01,Digital Kitchen Scale,Home & Kitchen,2,34.56,CUST0113
INV11701,2024-01-01,Facial Sunscreen SPF50,Beauty & Health,1,15.48,CUST0057
INV11767,2024-01-01,Desk Organizer Bamboo,Office Supplies,1,23.65,CUST0161
INV10903,2024-01-02,Bluetooth Speaker Mini,Electronics,2,77.76,CUST0102
INV11059,2024-01-02,Scissors Stainless Steel,Office Supplies,2,15.22,CUST0010
INV11336,2024-01-02,Hooded Sweatshirt,Clothing,2,85.84,CUST0113
INV11926,2024-01-02,Canvas Sneakers,Clothing,1,65.4,CUST0206
INV11993,2024-01-02,Facial Sunscreen SPF50,Beauty & Health,1,15.81,CUST0183
INV10241,2024-01-03,Zip-Up Fleece Jacket,Clothing,1,78.28,CUST0115
INV10253,2024-01-03,Sport Shorts,Clothing,1,23.35,CUST0250
INV10430,2024-01-03,Zip-Up Fleece Jacket,Clothing,3,235.56,CUST0196
INV10568,2024-01-03,Hooded Sweatshirt,Clothing,1,48.17,CUST0268
INV10581,2024-01-03,Digital Kitchen Scale,Home & Kitchen,1,20.29,CUST0101
INV10782,2024-01-03,Webcam 1080p HD,Electronics,1,54.93,CUST0087
INV11079,2024-01-03,Glass Storage Containers 5pk,Home & Kitchen,1,27.92,CUST0040
INV11476,2024-01-03,Facial Sunscreen SPF50,Beauty & Health,1,16.6,CUST0281
INV11741,2024-01-03,Portable Charger 20000mAh,Electronics,2,59.28,CUST0122
INV11810,2024-01-03,Lip Balm SPF15 3pk,Beauty & Health,2,17.58,CUST0263
INV11837,2024-01-03,Slim Fit Chinos,Clothing,1,47.84,CUST0023
INV11883,2024-01-03,Natural Face Moisturizer,Beauty & Health,10,197.9,CUST0032
INV10858,2024-01-04,Reusable Cotton Pads 20pk,Beauty & Health,1,11.22,CUST0188
INV10999,2024-01-04,Mechanical Keyboard TKL,Electronics,1,87.32,CUST0043
INV11784,2024-01-04,Natural Face Moisturizer,Beauty & Health,1,18.39,CUST0020
INV10336,2024-01-05,Essential Oil Diffuser,Beauty & Health,5,156.15,CUST0176
INV10688,2024-01-05,Non-Stick Frying Pan 28cm,Home & Kitchen,4,153.36,CUST0275
INV11147,2024-01-05,Slim Fit Chinos,Clothing,1,49.28,CUST0001
INV11401,2024-01-05,Sport Shorts,Clothing,1,25.13,CUST0298
INV11759,2024-01-05,Whiteboard Markers 8pk,Office Supplies,2,20.68,CUST0012
INV10157,2024-01-06,Sticky Notes Pack 12,Office Supplies,1,8.4,CUST0101
INV10342,2024-01-07,Running Socks 6pk,Clothing,1,15.98,CUST0098
INV10654,2024-01-07,Ballpoint Pens 50pk,Office Supplies,1,12.06,CUST0254
INV10807,2024-01-07,Bamboo Cutting Board,Home & Kitchen,5,108.95,CUST0093
INV11044,2024-01-07,Sticky Notes Pack 12,Office Supplies,1,8.28,CUST0109
INV11210,2024-01-07,Essential Oil Diffuser,Beauty & Health,4,124.96,CUST0018
INV10418,2024-01-08,Ceramic Coffee Mug,Home & Kitchen,1,13.84,CUST0134
INV10441,2024-01-08,Ceramic Coffee Mug,Home & Kitchen,1,12.67,CUST0122
INV10489,2024-01-08,Bamboo Cutting Board,Home & Kitchen,2,40.18,CUST0042
INV11267,2024-01-08,Running Socks 6pk,Clothing,2,28.3,CUST0179
INV11575,2024-01-08,Non-Stick Frying Pan 28cm,Home & Kitchen,2,66.26,CUST0053
